sp.symbol,sp.close,sc.sector,sp.dt
AAPL,103.13,Information Technology,9/9/2016
YHOO,42.92,Information Technology,9/9/2016
XRX,9.59,Information Technology,9/9/2016
XLNX,52.08,Information Technology,9/9/2016
WU,20.75,Information Technology,9/9/2016
WDC,51.59,Information Technology,9/9/2016
VRSN,74.86,Information Technology,9/9/2016
V,81.33,Information Technology,9/9/2016
TXN,66.67,Information Technology,9/9/2016
TSS,49.08,Information Technology,9/9/2016
TEL,60.98,Information Technology,9/9/2016
TDC,29.79,Information Technology,9/9/2016
SYMC,24.49,Information Technology,9/9/2016
SWKS,66.76,Information Technology,9/9/2016
STX,36.09,Information Technology,9/9/2016
RHT,72.24,Information Technology,9/9/2016
QRVO,52.48,Information Technology,9/9/2016
QCOM,60.52,Information Technology,9/9/2016
PYPL,38.01,Information Technology,9/9/2016
PAYX,59.29,Information Technology,9/9/2016
ORCL,40.03,Information Technology,9/9/2016
NVDA,59.52,Information Technology,9/9/2016
NTAP,34.27,Information Technology,9/9/2016
NFLX,96.5,Information Technology,9/9/2016
MU,16.81,Information Technology,9/9/2016
MSI,76.65,Information Technology,9/9/2016
MSFT,56.21,Information Technology,9/9/2016
MCHP,58.52,Information Technology,9/9/2016
MA,98.15,Information Technology,9/9/2016
LRCX,91.18,Information Technology,9/9/2016
LLTC,57.7,Information Technology,9/9/2016
KLAC,69.43,Information Technology,9/9/2016
JNPR,23.16,Information Technology,9/9/2016
INTU,109.25,Information Technology,9/9/2016
INTC,35.44,Information Technology,9/9/2016
IBM,155.69,Information Technology,9/9/2016
HRS,90.86,Information Technology,9/9/2016
HPQ,14.07,Information Technology,9/9/2016
HPE,20.92,Information Technology,9/9/2016
GPN,73.62,Information Technology,9/9/2016
GOOGL,788.48,Information Technology,9/9/2016
GOOG,759.66,Information Technology,9/9/2016
GLW,22.38,Information Technology,9/9/2016
FSLR,37.13,Information Technology,9/9/2016
FLIR,30.7,Information Technology,9/9/2016
FISV,100.28,Information Technology,9/9/2016
FIS,77.4,Information Technology,9/9/2016
FFIV,118.05,Information Technology,9/9/2016
FB,127.1,Information Technology,9/9/2016
EBAY,31.89,Information Technology,9/9/2016
EA,79.86,Information Technology,9/9/2016
CTXS,83.21,Information Technology,9/9/2016
CTSH,55.23,Information Technology,9/9/2016
CSRA,26.2,Information Technology,9/9/2016
CSCO,30.85,Information Technology,9/9/2016
CRM,74.2,Information Technology,9/9/2016
CA,33.07,Information Technology,9/9/2016
AVGO,160.78,Information Technology,9/9/2016
ATVI,42.29,Information Technology,9/9/2016
APH,61.29,Information Technology,9/9/2016
AMAT,28.86,Information Technology,9/9/2016
AKAM,52.5,Information Technology,9/9/2016
ADSK,66.84,Information Technology,9/9/2016
ADS,208.66,Information Technology,9/9/2016
ADP,86.57,Information Technology,9/9/2016
ADI,59.62,Information Technology,9/9/2016
ADBE,99.38,Information Technology,9/9/2016
ACN,110.39,Information Technology,9/9/2016
